provincia,fecha,NO2,O3,PM_particle,CO,velmedia,prec,label_ica,split
Avila,2012-01-05,5.0,88.0,11.0,0.2,2.5,0.0,0,train
Avila,2012-02-05,4.0,102.0,14.0,0.2,5.6,4.6,2,train
Avila,2012-03-05,4.0,85.0,12.0,0.2,2.5,0.0,2,train
Avila,2012-04-05,3.0,99.0,9.0,0.2,2.2,3.0,0,train
Avila,2012-04-06,6.0,98.0,16.0,0.2,2.8,2.4,0,train
Avila,2012-04-07,2.0,64.0,14.0,0.2,3.3,0.0,0,train
Avila,2012-04-08,5.0,93.0,19.0,0.2,2.5,0.0,0,train
Avila,2012-04-10,22.0,74.0,20.0,0.2,5.0,0.8,1,train
Avila,2012-04-11,12.0,64.0,14.0,0.2,3.1,2.8,0,train
Avila,2012-04-12,4.0,75.0,14.0,0.2,4.2,4.4,0,train
Avila,2012-04-13,2.0,94.0,17.0,0.2,6.1,1.2,0,train
Avila,2012-04-14,1.0,100.0,16.0,0.2,5.0,7.2,0,train
Avila,2012-04-15,1.0,99.0,13.0,0.2,6.1,1.8,0,train
Avila,2012-04-16,2.0,106.0,23.0,0.2,6.7,0.0,0,train
Avila,2012-04-17,11.0,72.0,20.0,0.2,4.2,0.6,0,train
Avila,2012-04-18,1.0,101.0,17.0,0.2,5.3,1.6,0,train
Avila,2012-04-19,1.0,105.0,13.0,0.2,4.4,0.8,0,train
Avila,2012-04-20,2.0,94.0,9.0,0.2,5.6,0.0,0,train
Avila,2012-04-21,1.0,77.0,10.0,0.2,3.6,0.0,0,train
Avila,2012-04-22,1.0,92.0,13.0,0.2,4.4,0.0,0,train
Avila,2012-04-23,2.0,94.0,12.0,0.2,5.0,0.0,0,train
Avila,2012-04-28,6.0,99.0,9.0,0.2,3.9,5.0,0,train
Avila,2012-04-29,2.0,104.0,11.0,0.2,3.3,0.0,0,train
Avila,2012-04-30,2.0,100.0,10.0,0.2,2.8,1.6,0,train
Avila,2012-05-05,4.0,89.0,8.0,0.2,2.8,0.0,1,train
