transport,payload_bytes,iter,conn_time_ms,duration_ms,throughput_mbps,success
http2,100000,0,0.0,2.69,37.1789,True
http2,100000,1,0.0,0.887,112.7547,True
http2,100000,2,0.0,0.713,140.2692,True
http2,100000,3,0.0,0.643,155.4758,True
http2,100000,4,0.0,0.548,182.3669,True
http2,100000,5,0.0,0.531,188.2466,True
http2,100000,6,0.0,0.512,195.1311,True
http2,100000,7,0.0,0.662,151.0925,True
http2,100000,8,0.0,0.523,191.2719,True
http2,100000,9,0.0,0.475,210.5915,True
http2,100000,10,0.0,0.455,219.9504,True
http2,100000,11,0.0,0.446,224.2716,True
http2,100000,12,0.0,0.42,237.8291,True
http2,100000,13,0.0,0.442,226.3416,True
http2,100000,14,0.0,0.442,226.1835,True
http2,100000,15,0.0,0.44,227.2562,True
http2,100000,16,0.0,0.418,238.9652,True
http2,100000,17,0.0,0.416,240.5975,True
http2,100000,18,0.0,0.452,221.3026,True
http2,100000,19,0.0,0.435,230.1395,True
http2,100000,20,0.0,0.422,237.0595,True
http2,100000,21,0.0,0.407,245.5157,True
http2,100000,22,0.0,0.42,238.2076,True
http2,100000,23,0.0,0.416,240.6432,True
http2,100000,24,0.0,0.437,228.8943,True
http2,100000,25,0.0,0.419,238.8784,True
http2,100000,26,0.0,0.418,239.0354,True
http2,100000,27,0.0,0.407,245.7358,True
http2,100000,28,0.0,0.409,244.7801,True
http2,100000,29,0.0,0.436,229.5995,True
http2,1000000,0,0.0,2.538,394.0804,True
http2,1000000,1,0.0,2.078,481.1224,True
http2,1000000,2,0.0,1.687,592.8448,True
http2,1000000,3,0.0,1.778,562.2991,True
http2,1000000,4,0.0,1.733,577.0094,True
http2,1000000,5,0.0,1.744,573.335,True
http2,1000000,6,0.0,1.685,593.4707,True
http2,1000000,7,0.0,1.71,584.8028,True
http2,1000000,8,0.0,1.683,594.271,True
http2,1000000,9,0.0,1.727,578.9369,True
http2,1000000,10,0.0,1.67,598.9279,True
http2,1000000,11,0.0,1.728,578.6833,True
http2,1000000,12,0.0,1.657,603.5578,True
http2,1000000,13,0.0,1.751,571.1335,True
http2,1000000,14,0.0,1.701,587.9036,True
http2,1000000,15,0.0,1.73,578.1162,True
http2,1000000,16,0.0,1.803,554.478,True
http2,1000000,17,0.0,1.79,558.6221,True
http2,1000000,18,0.0,1.689,591.9132,True
http2,1000000,19,0.0,1.729,578.3951,True
http2,1000000,20,0.0,1.674,597.5026,True
http2,1000000,21,0.0,1.765,566.6397,True
http2,1000000,22,0.0,1.681,594.9916,True
http2,1000000,23,0.0,1.729,578.3225,True
http2,1000000,24,0.0,1.657,603.3456,True
http2,1000000,25,0.0,1.702,587.4454,True
http2,1000000,26,0.0,1.666,600.2819,True
http2,1000000,27,0.0,1.755,569.8743,True
http2,1000000,28,0.0,1.678,595.9887,True
http2,1000000,29,0.0,1.729,578.3539,True
http2,10000000,0,0.0,26.577,376.2586,True
http2,10000000,1,0.0,24.931,401.1086,True
