architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,noniid_0.5,1,10,10,0.22844732203520834,True,0.09772727272727273,3.083813493902033,374570,374570,0,1780936057.5774753
B,noniid_0.5,2,10,10,0.2222048321273178,True,0.12727272727272726,3.067433010448109,374570,374570,0,1780936057.7999055
B,noniid_0.5,3,10,10,0.22108031110838056,True,0.14772727272727273,3.042379093170166,374570,374570,0,1780936058.0212085
B,noniid_0.5,4,10,10,0.2221617461182177,True,0.15227272727272728,3.0106540636582806,374570,374570,0,1780936058.243597
B,noniid_0.5,5,10,10,0.2206160651985556,True,0.15,2.9750203869559546,374570,374570,0,1780936058.4644463
B,noniid_0.5,6,10,10,0.2196653310675174,True,0.1590909090909091,2.9372978643937544,374570,374570,0,1780936058.6843367
B,noniid_0.5,7,10,10,0.21969517599791288,True,0.16818181818181818,2.8994856877760453,374570,374570,0,1780936058.904253
B,noniid_0.5,8,10,10,0.2269941819831729,True,0.18409090909090908,2.860018084265969,374570,374570,0,1780936059.131504
B,noniid_0.5,9,10,10,0.22062141192145646,True,0.21363636363636362,2.822228028557517,374570,374570,0,1780936059.3523614
B,noniid_0.5,10,10,10,0.2201420080382377,True,0.23863636363636365,2.7814637400887228,374570,374570,0,1780936059.5727332
B,noniid_0.5,11,10,10,0.22003627102822065,True,0.2636363636363636,2.7412151900204744,374570,374570,0,1780936059.7929895
B,noniid_0.5,12,10,10,0.22014124994166195,True,0.2863636363636364,2.6991989569230515,374570,374570,0,1780936060.0133407
B,noniid_0.5,13,10,10,0.2205707118846476,True,0.29772727272727273,2.6605299039320514,374570,374570,0,1780936060.23413
B,noniid_0.5,14,10,10,0.22014728281646967,True,0.3159090909090909,2.6179463906721634,374570,374570,0,1780936060.4544864
B,noniid_0.5,15,10,10,0.3455198819283396,True,0.32272727272727275,2.577563307502053,374570,374570,0,1780936060.8002315
B,noniid_0.5,16,10,10,0.21958492207340896,True,0.3409090909090909,2.53784819949757,374570,374570,0,1780936061.020032
B,noniid_0.5,17,10,10,0.21935340901836753,True,0.3568181818181818,2.4956555193120784,374570,374570,0,1780936061.2395964
B,noniid_0.5,18,10,10,0.22454494913108647,True,0.36818181818181817,2.4534125371412796,374570,374570,0,1780936061.464399
B,noniid_0.5,19,10,10,0.22314902488142252,True,0.375,2.412846821004694,374570,374570,0,1780936061.6877809
B,noniid_0.5,20,10,10,0.22135958611033857,True,0.39545454545454545,2.3755386742678555,374570,374570,0,1780936061.9093564
B,noniid_0.5,21,10,10,0.22268863394856453,True,0.4090909090909091,2.3347471323880282,374570,374570,0,1780936062.1322587
B,noniid_0.5,22,10,10,0.2212720150128007,True,0.4340909090909091,2.30268706408414,374570,374570,0,1780936062.3537705
B,noniid_0.5,23,10,10,0.22056806995533407,True,0.44772727272727275,2.265210823579268,374570,374570,0,1780936062.5745535
B,noniid_0.5,24,10,10,0.2310115050058812,True,0.44772727272727275,2.2255349072543056,374570,374570,0,1780936062.8057895
B,noniid_0.5,25,10,10,0.22123066894710064,True,0.4636363636363636,2.191135865991766,374570,374570,0,1780936063.0272348
B,noniid_0.5,26,10,10,0.22092715185135603,True,0.4909090909090909,2.1527439507571136,374570,374570,0,1780936063.2483876
B,noniid_0.5,27,10,10,0.22262822813354433,True,0.509090909090909,2.1122147473421964,374570,374570,0,1780936063.4712384
B,noniid_0.5,28,10,10,0.21995487599633634,True,0.5159090909090909,2.0715765302831475,374570,374570,0,1780936063.6914113
B,noniid_0.5,29,10,10,0.21983558009378612,True,0.525,2.0317692149769178,374570,374570,0,1780936063.9114652
B,noniid_0.5,30,10,10,0.21932894084602594,True,0.5386363636363637,1.992404114116322,374570,374570,0,1780936064.1310198
B,noniid_0.5,31,10,10,0.22466340498067439,True,0.55,1.95359957001426,374570,374570,0,1780936064.3559055
B,noniid_0.5,32,10,10,0.21954594389535487,True,0.5659090909090909,1.9126719084652988,374570,374570,0,1780936064.5756702
B,noniid_0.5,33,10,10,0.21947347116656601,True,0.5727272727272728,1.8717469865625556,374570,374570,0,1780936064.7953577
B,noniid_0.5,34,10,10,0.21975473198108375,True,0.5795454545454546,1.8289152665571733,374570,374570,0,1780936065.0153246
B,noniid_0.5,35,10,10,0.21956838807091117,True,0.5954545454545455,1.7875015995719217,374570,374570,0,1780936065.2351017
B,noniid_0.5,36,10,10,0.21932301810011268,True,0.6045454545454545,1.750190747867931,374570,374570,0,1780936065.4546323
B,noniid_0.5,37,10,10,0.21936162188649178,True,0.6045454545454545,1.7119034637104382,374570,374570,0,1780936065.6742055
