architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,iid,1,1,1,0.524822931000017,True,0.3568181818181818,2.2928589820861816,37457,37457,0,1783707079.4148412
B,iid,2,1,1,0.49117142800002966,True,0.6136363636363636,1.3368297360160135,37457,37457,0,1783707079.9084022
B,iid,3,1,1,0.6434471519999079,True,0.8340909090909091,0.7451776233586398,37457,37457,0,1783707080.5552135
B,iid,4,1,1,1.1568987160000006,True,0.8931818181818182,0.46707572395151314,37457,37457,0,1783707081.7155678
B,iid,5,1,1,0.7873163990000194,True,0.9136363636363637,0.32834940932013773,37457,37457,0,1783707082.5087128
B,iid,6,1,1,0.34723991700002443,True,0.9431818181818182,0.25471459410407327,37457,37457,0,1783707082.8581536
B,iid,7,1,1,0.4167019970000183,True,0.9340909090909091,0.22222988903522492,37457,37457,0,1783707083.2775834
B,iid,8,1,1,0.4301006040000175,True,0.9454545454545454,0.18254320242188193,37457,37457,0,1783707083.7094781
B,iid,9,1,1,0.6066539789999297,True,0.9590909090909091,0.14444849003445018,37457,37457,0,1783707084.3192983
B,iid,10,1,1,0.4060879979999754,True,0.9636363636363636,0.13421020291068336,37457,37457,0,1783707084.7279856
B,iid,11,1,1,0.3996137980000185,True,0.9704545454545455,0.117020137201656,37457,37457,0,1783707085.1305337
B,iid,12,1,1,0.4764293529999577,True,0.9545454545454546,0.14125051227482882,37457,37457,0,1783707085.609809
B,iid,13,1,1,0.426591253999959,True,0.9568181818181818,0.10972148776054383,37457,37457,0,1783707086.0382428
B,iid,14,1,1,0.8899420640000244,True,0.9727272727272728,0.0894926673986695,37457,37457,0,1783707086.9306097
B,iid,15,1,1,0.37012089400002424,True,0.9590909090909091,0.09696179953488436,37457,37457,0,1783707087.3041067
B,iid,16,1,1,0.42906422800001565,True,0.9772727272727273,0.09164915897629478,37457,37457,0,1783707087.7350254
B,iid,17,1,1,0.40782321700010016,True,0.9636363636363636,0.10666687271811745,37457,37457,0,1783707088.1460772
B,iid,18,1,1,0.3926793869999301,True,0.9613636363636363,0.10569947375492617,37457,37457,0,1783707088.5410602
B,iid,19,1,1,0.5140964149999263,True,0.9818181818181818,0.07312557507645,37457,37457,0,1783707089.0573857
B,iid,20,1,1,0.44248035999999047,True,0.990909090909091,0.06350506530566649,37457,37457,0,1783707089.502273
B,iid,21,1,1,0.41394367299994883,True,0.9704545454545455,0.08093258752064271,37457,37457,0,1783707089.918159
B,iid,22,1,1,0.4848592069999995,True,0.9795454545454545,0.06795263371684335,37457,37457,0,1783707090.4053595
B,iid,23,1,1,0.38636810800005605,True,0.9818181818181818,0.0612243114547296,37457,37457,0,1783707090.7939308
