scenario,iter,conn_type,conn_time_ms,duration_ms,success
net_cgnat,0,unknown,404.662,430.861,True
net_cgnat,1,unknown,53.412,61.876,True
net_cgnat,2,unknown,58.22,66.516,True
net_cgnat,3,unknown,51.047,59.182,True
net_cgnat,4,unknown,67.817,76.842,True
net_cgnat,5,unknown,46.479,54.899,True
net_cgnat,6,unknown,1060.131,1074.391,True
net_cgnat,7,unknown,65.687,79.15,True
net_cgnat,8,unknown,50.508,62.55,True
net_cgnat,9,unknown,51.593,64.558,True
net_cgnat,10,unknown,63.607,77.032,True
net_cgnat,11,unknown,80.276,92.945,True
net_cgnat,12,unknown,45.621,59.573,True
net_cgnat,13,unknown,58.203,70.493,True
net_cgnat,14,unknown,57.081,69.114,True
net_cgnat,15,unknown,61.535,73.01,True
net_cgnat,16,unknown,60.929,73.009,True
net_cgnat,17,unknown,1064.442,1079.564,True
net_cgnat,18,unknown,59.798,73.794,True
net_cgnat,19,unknown,53.208,65.266,True
net_cgnat,20,unknown,52.984,66.907,True
net_cgnat,21,unknown,54.492,68.094,True
net_cgnat,22,unknown,52.183,63.258,True
net_cgnat,23,unknown,46.262,59.669,True
net_cgnat,24,unknown,51.03,64.569,True
net_cgnat,25,unknown,49.256,60.334,True
net_cgnat,26,unknown,51.974,65.746,True
net_cgnat,27,unknown,59.149,72.641,True
net_cgnat,28,unknown,48.855,60.78,True
net_cgnat,29,unknown,43.795,55.515,True
