scenario,iter,conn_type,conn_time_ms,duration_ms,success
net_nat1,0,unknown,899.656,993.537,True
net_nat1,1,unknown,63.494,86.585,True
net_nat1,2,unknown,42.291,54.209,True
net_nat1,3,unknown,48.669,64.405,True
net_nat1,4,unknown,44.365,58.664,True
net_nat1,5,unknown,45.461,56.352,True
net_nat1,6,unknown,42.434,53.802,True
net_nat1,7,unknown,48.713,58.803,True
net_nat1,8,unknown,44.768,55.851,True
net_nat1,9,unknown,48.934,59.911,True
net_nat1,10,unknown,48.801,63.034,True
net_nat1,11,unknown,50.4,63.868,True
net_nat1,12,unknown,47.618,62.608,True
net_nat1,13,unknown,43.778,60.46,True
net_nat1,14,unknown,57.104,72.165,True
net_nat1,15,unknown,50.035,68.204,True
net_nat1,16,unknown,47.908,60.029,True
net_nat1,17,unknown,43.497,57.829,True
net_nat1,18,unknown,43.003,61.067,True
net_nat1,19,unknown,63.119,84.511,True
net_nat1,20,unknown,47.584,57.952,True
net_nat1,21,unknown,63.415,73.645,True
net_nat1,22,unknown,45.228,56.067,True
net_nat1,23,unknown,43.752,53.489,True
net_nat1,24,unknown,44.615,54.212,True
net_nat1,25,unknown,42.052,51.284,True
net_nat1,26,unknown,47.562,57.112,True
net_nat1,27,unknown,40.802,50.148,True
net_nat1,28,unknown,45.893,55.34,True
net_nat1,29,unknown,42.57,52.141,True
