scenario,iter,conn_type,conn_time_ms,duration_ms,active_addr,success
net_cgnat,0,failed,,,,False
net_cgnat,1,failed,,,,False
net_cgnat,2,failed,,,,False
net_cgnat,3,failed,,,,False
net_cgnat,4,failed,,,,False
net_cgnat,5,direct,14785.755,7.789,85.48.2.235:60162,True
net_cgnat,6,direct,53891.15,50.843,85.48.2.235:55651,True
net_cgnat,7,direct,58575.637,1.335,85.48.2.235:55685,True
net_cgnat,8,direct,119145.07,54.806,85.48.2.235:35675,True
net_cgnat,9,direct,57085.66,36.918,85.48.2.235:37799,True
net_cgnat,10,direct,58989.002,8.654,85.48.2.235:59973,True
net_cgnat,11,direct,55850.197,7.562,85.48.2.235:47398,True
net_cgnat,12,direct,59554.662,0.524,85.48.2.235:43817,True
net_cgnat,13,direct,57949.242,38.244,85.48.2.235:48346,True
net_cgnat,14,direct,56119.613,15.652,85.48.2.235:41204,True
net_cgnat,15,direct,59169.814,13.436,85.48.2.235:38393,True
net_cgnat,16,direct,59673.172,44.025,85.48.2.235:48142,True
net_cgnat,17,direct,60222.459,10.195,85.48.2.235:36719,True
net_cgnat,18,direct,56960.86,17.118,85.48.2.235:36506,True
net_cgnat,19,direct,60111.579,9.99,85.48.2.235:52199,True
net_cgnat,20,direct,58624.857,1.726,85.48.2.235:42693,True
net_cgnat,21,direct,57381.294,1.414,85.48.2.235:42946,True
net_cgnat,22,direct,48661.573,12.528,85.48.2.235:53297,True
net_cgnat,23,direct,52817.914,3.034,85.48.2.235:51691,True
net_cgnat,24,direct,57563.367,1.066,85.48.2.235:52532,True
net_cgnat,25,direct,56268.694,14.395,85.48.2.235:37620,True
net_cgnat,26,failed,,,,False
net_cgnat,27,direct,51080.636,80.341,85.48.2.235:50512,True
net_cgnat,28,direct,56068.684,13.844,85.48.2.235:57985,True
net_cgnat,29,direct,57472.241,10.906,85.48.2.235:35530,True
