scenario,iter,conn_type,conn_time_ms,duration_ms,active_addr,success
net_cgnat,0,failed,,,,False
net_cgnat,1,direct,5313.0,0.0,85.48.2.235:37312,True
net_cgnat,2,direct,78.0,0.0,85.48.2.235:37312,True
net_cgnat,3,direct,141.0,0.0,85.48.2.235:37312,True
net_cgnat,4,direct,109.0,15.0,85.48.2.235:37312,True
net_cgnat,5,direct,109.0,16.0,85.48.2.235:37312,True
net_cgnat,6,direct,172.0,15.0,85.48.2.235:37312,True
net_cgnat,7,direct,94.0,16.0,85.48.2.235:37312,True
net_cgnat,8,direct,93.0,15.0,85.48.2.235:37312,True
net_cgnat,9,direct,125.0,16.0,85.48.2.235:37312,True
net_cgnat,10,direct,94.0,0.0,85.48.2.235:37312,True
net_cgnat,11,direct,125.0,0.0,85.48.2.235:37312,True
net_cgnat,12,direct,156.0,15.0,85.48.2.235:37312,True
net_cgnat,13,direct,79.0,0.0,85.48.2.235:37312,True
net_cgnat,14,direct,94.0,16.0,85.48.2.235:37312,True
net_cgnat,15,direct,156.0,47.0,85.48.2.235:37312,True
net_cgnat,16,direct,406.0,172.0,85.48.2.235:37312,True
net_cgnat,17,direct,125.0,0.0,85.48.2.235:37312,True
net_cgnat,18,direct,500.0,94.0,85.48.2.235:37312,True
net_cgnat,19,direct,391.0,0.0,85.48.2.235:37312,True
net_cgnat,20,direct,344.0,0.0,85.48.2.235:37312,True
net_cgnat,21,direct,312.0,109.0,85.48.2.235:37312,True
net_cgnat,22,direct,219.0,31.0,85.48.2.235:37312,True
net_cgnat,23,direct,188.0,79.0,85.48.2.235:37312,True
net_cgnat,24,direct,625.0,62.0,85.48.2.235:37312,True
net_cgnat,25,direct,156.0,15.0,85.48.2.235:37312,True
net_cgnat,26,direct,297.0,78.0,85.48.2.235:37312,True
net_cgnat,27,direct,141.0,0.0,85.48.2.235:37312,True
net_cgnat,28,direct,172.0,63.0,85.48.2.235:37312,True
net_cgnat,29,direct,234.0,0.0,85.48.2.235:37312,True
