scenario,iter,conn_type,conn_time_ms,duration_ms,active_addr,success
net_fw443,0,relay,108999.163,20.288,,True
net_fw443,1,direct,55321.63,37.416,10.50.16.202:33063,True
net_fw443,2,relay,67430.903,17.823,,True
net_fw443,3,relay,92911.997,75.477,,True
net_fw443,4,relay,59911.525,8.906,,True
net_fw443,5,relay,57360.064,1.587,,True
net_fw443,6,relay,56315.705,0.499,,True
net_fw443,7,relay,56143.594,1.454,,True
net_fw443,8,direct,55814.141,6.256,10.50.16.202:60453,True
net_fw443,9,relay,65707.15,18.854,,True
net_fw443,10,relay,57831.209,14.996,,True
net_fw443,11,relay,61006.59,13.241,,True
net_fw443,12,direct,57190.376,19.65,10.50.16.202:35892,True
net_fw443,13,direct,62046.89,1.414,10.50.16.202:56364,True
net_fw443,14,relay,64129.557,13.51,,True
net_fw443,15,relay,55871.759,3.537,,True
net_fw443,16,relay,90524.868,16.068,,True
net_fw443,17,relay,55589.485,12.818,,True
net_fw443,18,relay,60080.356,18.831,,True
net_fw443,19,relay,58302.439,11.765,,True
net_fw443,20,relay,59011.967,6.07,,True
net_fw443,21,direct,54050.382,1.518,85.48.2.235:60905,True
net_fw443,22,relay,68997.976,1.699,,True
net_fw443,23,relay,58453.965,3.568,,True
net_fw443,24,relay,60148.225,9.213,,True
net_fw443,25,direct,53985.653,13.39,10.50.16.202:33602,True
net_fw443,26,direct,60436.151,3.65,85.48.2.235:49189,True
net_fw443,27,relay,63028.619,9.282,,True
net_fw443,28,direct,54040.162,23.983,85.48.2.235:57457,True
net_fw443,29,relay,62924.695,24.94,,True
