scenario,iter,conn_type,conn_time_ms,duration_ms,active_addr,success
net_nat2,0,direct,114011.267,8.198,85.48.2.235:49195,True
net_nat2,1,direct,55528.458,18.673,85.48.2.235:49030,True
net_nat2,2,direct,55322.422,10.718,85.48.2.235:56737,True
net_nat2,3,direct,58129.445,18.469,85.48.2.235:41192,True
net_nat2,4,direct,55931.65,13.644,85.48.2.235:44040,True
net_nat2,5,direct,115540.522,75.171,85.48.2.235:35509,True
net_nat2,6,direct,55105.845,0.535,85.48.2.235:44956,True
net_nat2,7,direct,58489.69,18.4,85.48.2.235:39461,True
net_nat2,8,direct,57460.694,11.777,85.48.2.235:59172,True
net_nat2,9,direct,58824.969,21.32,85.48.2.235:39673,True
net_nat2,10,direct,58238.819,20.508,85.48.2.235:51184,True
net_nat2,11,direct,57520.029,15.155,85.48.2.235:42091,True
net_nat2,12,direct,54724.996,26.761,85.48.2.235:56426,True
net_nat2,13,direct,57724.034,22.398,85.48.2.235:33290,True
net_nat2,14,direct,56747.737,15.752,85.48.2.235:36464,True
net_nat2,15,failed,,,,False
net_nat2,16,failed,,,,False
net_nat2,17,direct,41823.27,58.637,10.50.16.202:39859,True
net_nat2,18,direct,57385.888,3.248,10.50.16.202:47330,True
net_nat2,19,direct,56358.24,11.718,10.50.16.202:56997,True
net_nat2,20,direct,55884.452,0.769,85.48.2.235:45614,True
net_nat2,21,direct,55095.801,4.657,10.50.16.202:33153,True
net_nat2,22,direct,57234.544,2.047,10.50.16.202:50309,True
net_nat2,23,direct,56707.609,4.937,10.50.16.202:51992,True
net_nat2,24,direct,59613.233,23.173,10.50.16.202:58833,True
net_nat2,25,direct,57644.961,176.517,10.50.16.202:54446,True
net_nat2,26,direct,61221.362,11.586,10.50.16.202:60415,True
net_nat2,27,direct,61219.157,0.578,10.50.16.202:45932,True
net_nat2,28,direct,59427.728,145.021,10.50.16.202:35623,True
net_nat2,29,direct,62035.334,1.426,10.50.16.202:56628,True
