run,outcome,wall_s,results_dir
1,failed,38,results/e3/establish/net_cgnat/run_001
2,failed,27,results/e3/establish/net_cgnat/run_002
3,failed,18,results/e3/establish/net_cgnat/run_003
4,failed,17,results/e3/establish/net_cgnat/run_004
5,failed,14,results/e3/establish/net_cgnat/run_005
6,failed,15,results/e3/establish/net_cgnat/run_006
7,failed,18,results/e3/establish/net_cgnat/run_007
8,failed,19,results/e3/establish/net_cgnat/run_008
9,failed,20,results/e3/establish/net_cgnat/run_009
10,failed,24,results/e3/establish/net_cgnat/run_010
11,failed,23,results/e3/establish/net_cgnat/run_011
12,failed,18,results/e3/establish/net_cgnat/run_012
13,failed,23,results/e3/establish/net_cgnat/run_013
14,failed,20,results/e3/establish/net_cgnat/run_014
1,ok,28,results/e3/establish/net_cgnat/run_001
2,ok,35,results/e3/establish/net_cgnat/run_002
3,ok,39,results/e3/establish/net_cgnat/run_003
4,ok,38,results/e3/establish/net_cgnat/run_004
5,ok,43,results/e3/establish/net_cgnat/run_005
6,ok,39,results/e3/establish/net_cgnat/run_006
7,ok,38,results/e3/establish/net_cgnat/run_007
8,ok,39,results/e3/establish/net_cgnat/run_008
9,ok,39,results/e3/establish/net_cgnat/run_009
10,ok,38,results/e3/establish/net_cgnat/run_010
11,ok,38,results/e3/establish/net_cgnat/run_011
12,ok,39,results/e3/establish/net_cgnat/run_012
13,ok,42,results/e3/establish/net_cgnat/run_013
14,ok,40,results/e3/establish/net_cgnat/run_014
15,ok,39,results/e3/establish/net_cgnat/run_015
16,ok,40,results/e3/establish/net_cgnat/run_016
17,ok,40,results/e3/establish/net_cgnat/run_017
18,ok,36,results/e3/establish/net_cgnat/run_018
19,ok,29,results/e3/establish/net_cgnat/run_019
20,ok,37,results/e3/establish/net_cgnat/run_020
21,ok,38,results/e3/establish/net_cgnat/run_021
22,ok,38,results/e3/establish/net_cgnat/run_022
23,ok,39,results/e3/establish/net_cgnat/run_023
24,ok,36,results/e3/establish/net_cgnat/run_024
25,ok,39,results/e3/establish/net_cgnat/run_025
26,ok,38,results/e3/establish/net_cgnat/run_026
27,ok,39,results/e3/establish/net_cgnat/run_027
28,ok,142,results/e3/establish/net_cgnat/run_028
29,ok,137,results/e3/establish/net_cgnat/run_029
30,ok,129,results/e3/establish/net_cgnat/run_030
