run,outcome,wall_s,results_dir
1,ok,37,results/e3/establish/net_lan/run_001
2,ok,40,results/e3/establish/net_lan/run_002
3,ok,42,results/e3/establish/net_lan/run_003
4,ok,38,results/e3/establish/net_lan/run_004
5,ok,40,results/e3/establish/net_lan/run_005
6,ok,37,results/e3/establish/net_lan/run_006
7,ok,39,results/e3/establish/net_lan/run_007
8,ok,40,results/e3/establish/net_lan/run_008
9,ok,42,results/e3/establish/net_lan/run_009
10,ok,37,results/e3/establish/net_lan/run_010
11,ok,38,results/e3/establish/net_lan/run_011
12,ok,38,results/e3/establish/net_lan/run_012
13,ok,36,results/e3/establish/net_lan/run_013
14,ok,41,results/e3/establish/net_lan/run_014
15,ok,41,results/e3/establish/net_lan/run_015
16,ok,39,results/e3/establish/net_lan/run_016
17,ok,38,results/e3/establish/net_lan/run_017
18,ok,38,results/e3/establish/net_lan/run_018
19,ok,40,results/e3/establish/net_lan/run_019
20,ok,41,results/e3/establish/net_lan/run_020
21,ok,40,results/e3/establish/net_lan/run_021
22,ok,43,results/e3/establish/net_lan/run_022
23,ok,39,results/e3/establish/net_lan/run_023
24,ok,38,results/e3/establish/net_lan/run_024
25,ok,41,results/e3/establish/net_lan/run_025
26,ok,39,results/e3/establish/net_lan/run_026
27,ok,42,results/e3/establish/net_lan/run_027
28,ok,40,results/e3/establish/net_lan/run_028
29,ok,44,results/e3/establish/net_lan/run_029
30,ok,137,results/e3/establish/net_lan/run_030
