run,outcome,wall_s,results_dir
1,ok,32,results/e3/establish/net_nat1/run_001
2,ok,39,results/e3/establish/net_nat1/run_002
3,ok,41,results/e3/establish/net_nat1/run_003
4,ok,39,results/e3/establish/net_nat1/run_004
5,ok,41,results/e3/establish/net_nat1/run_005
6,ok,42,results/e3/establish/net_nat1/run_006
7,ok,41,results/e3/establish/net_nat1/run_007
8,ok,39,results/e3/establish/net_nat1/run_008
9,ok,39,results/e3/establish/net_nat1/run_009
10,ok,38,results/e3/establish/net_nat1/run_010
11,ok,40,results/e3/establish/net_nat1/run_011
12,ok,40,results/e3/establish/net_nat1/run_012
13,ok,41,results/e3/establish/net_nat1/run_013
14,ok,40,results/e3/establish/net_nat1/run_014
15,ok,43,results/e3/establish/net_nat1/run_015
16,ok,40,results/e3/establish/net_nat1/run_016
17,ok,40,results/e3/establish/net_nat1/run_017
18,ok,39,results/e3/establish/net_nat1/run_018
19,ok,42,results/e3/establish/net_nat1/run_019
20,ok,40,results/e3/establish/net_nat1/run_020
21,ok,38,results/e3/establish/net_nat1/run_021
22,ok,38,results/e3/establish/net_nat1/run_022
23,ok,39,results/e3/establish/net_nat1/run_023
24,ok,36,results/e3/establish/net_nat1/run_024
25,ok,35,results/e3/establish/net_nat1/run_025
26,ok,34,results/e3/establish/net_nat1/run_026
27,ok,41,results/e3/establish/net_nat1/run_027
28,ok,39,results/e3/establish/net_nat1/run_028
29,ok,38,results/e3/establish/net_nat1/run_029
30,ok,37,results/e3/establish/net_nat1/run_030
1,ok,37,results/e3/establish/net_nat1/run_001
