architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,net_churn00,1,10,10,0.3175953070167452,True,0.1,3.082653132351962,374570,374570,0,1780936005.5307906
B,net_churn00,2,10,10,0.2220886901486665,True,0.12727272727272726,3.0642143552953547,374570,374570,0,1780936005.753084
B,net_churn00,3,10,10,0.22214206610806286,True,0.1409090909090909,3.03626127243042,374570,374570,0,1780936005.9754336
B,net_churn00,4,10,10,0.22220337390899658,True,0.14772727272727273,3.00105149529197,374570,374570,0,1780936006.1978567
B,net_churn00,5,10,10,0.22831164812669158,True,0.16363636363636364,2.9608098550276325,374570,374570,0,1780936006.4264023
B,net_churn00,6,10,10,0.22308958997018635,True,0.18181818181818182,2.919934944673018,374570,374570,0,1780936006.6497066
B,net_churn00,7,10,10,0.2229108470492065,True,0.21363636363636362,2.8782692302357065,374570,374570,0,1780936006.8728392
B,net_churn00,8,10,10,0.22333003906533122,True,0.25,2.836730220101096,374570,374570,0,1780936007.096378
B,net_churn00,9,10,10,0.22336141509003937,True,0.26590909090909093,2.7956658493388784,374570,374570,0,1780936007.3199503
B,net_churn00,10,10,10,0.22399978782050312,True,0.3068181818181818,2.7519596403295346,374570,374570,0,1780936007.5441666
B,net_churn00,11,10,10,0.3448885390534997,True,0.32272727272727275,2.708236243508079,374570,374570,0,1780936007.889266
B,net_churn00,12,10,10,0.22433039615862072,True,0.3409090909090909,2.663657634908503,374570,374570,0,1780936008.1138098
B,net_churn00,13,10,10,0.225080125965178,True,0.35909090909090907,2.6170074462890627,374570,374570,0,1780936008.339115
B,net_churn00,14,10,10,0.22322112205438316,True,0.3795454545454545,2.570779527317394,374570,374570,0,1780936008.562544
B,net_churn00,15,10,10,0.22787922713905573,True,0.3931818181818182,2.52663610198281,374570,374570,0,1780936008.7906873
B,net_churn00,16,10,10,0.22376171685755253,True,0.40454545454545454,2.4838245045055043,374570,374570,0,1780936009.0146687
B,net_churn00,17,10,10,0.22345616086386144,True,0.42045454545454547,2.436528730392456,374570,374570,0,1780936009.238351
B,net_churn00,18,10,10,0.22321894112974405,True,0.425,2.389484353498979,374570,374570,0,1780936009.4617782
B,net_churn00,19,10,10,0.22280035098083317,True,0.42727272727272725,2.3427022283727474,374570,374570,0,1780936009.6847954
B,net_churn00,20,10,10,0.22817648202180862,True,0.43636363636363634,2.2969510728662663,374570,374570,0,1780936009.9131942
B,net_churn00,21,10,10,0.22401590389199555,True,0.43863636363636366,2.2486891876567494,374570,374570,0,1780936010.1374257
B,net_churn00,22,10,10,0.22366638015955687,True,0.45227272727272727,2.2066885297948664,374570,374570,0,1780936010.3613012
B,net_churn00,23,10,10,0.22292941599152982,True,0.4727272727272727,2.163126238909635,374570,374570,0,1780936010.584437
B,net_churn00,24,10,10,0.22316243289969862,True,0.4727272727272727,2.117204189300537,374570,374570,0,1780936010.807803
B,net_churn00,25,10,10,0.22366552497260273,True,0.509090909090909,2.0714967077428645,374570,374570,0,1780936011.0316792
B,net_churn00,26,10,10,0.22527314396575093,True,0.5295454545454545,2.027837761965665,374570,374570,0,1780936011.2571728
B,net_churn00,27,10,10,0.22572687710635364,True,0.5318181818181819,1.9799115441062234,374570,374570,0,1780936011.4831154
B,net_churn00,28,10,10,0.22495865100063384,True,0.5431818181818182,1.9354173530231822,374570,374570,0,1780936011.7082996
B,net_churn00,29,10,10,0.2247004380915314,True,0.5409090909090909,1.8909623622894287,374570,374570,0,1780936011.9332097
B,net_churn00,30,10,10,0.2251779141370207,True,0.5477272727272727,1.8474644314159046,374570,374570,0,1780936012.1586254
B,net_churn00,31,10,10,0.2242582798935473,True,0.5545454545454546,1.8057384946129538,374570,374570,0,1780936012.3831024
B,net_churn00,32,10,10,0.2235778821632266,True,0.5568181818181818,1.762131270495328,374570,374570,0,1780936012.6069047
B,net_churn00,33,10,10,0.22496973793022335,True,0.5613636363636364,1.7203353339975531,374570,374570,0,1780936012.8320851
B,net_churn00,34,10,10,0.22415202902629972,True,0.5681818181818182,1.6782845995642923,374570,374570,0,1780936013.056461
