architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,net_churn10,1,10,9,0.1882771118544042,True,0.06136363636363636,3.093557054346258,337113,337113,0,1783417506.308917
B,net_churn10,2,10,9,0.18881052499637008,True,0.05454545454545454,3.085565866123546,337113,337113,0,1783417506.4979174
B,net_churn10,3,10,9,0.18826743587851524,True,0.056818181818181816,3.073468325354836,337113,337113,0,1783417506.6863723
B,net_churn10,4,10,9,0.1890036561526358,True,0.06818181818181818,3.057304252277721,337113,337113,0,1783417506.875565
B,net_churn10,5,10,9,0.18904612213373184,True,0.09772727272727273,3.0384700254960495,337113,337113,0,1783417507.064813
B,net_churn10,6,10,9,0.18939344584941864,True,0.17045454545454544,3.017305547540838,337113,337113,0,1783417507.254399
B,net_churn10,7,10,9,0.18884621188044548,True,0.19772727272727272,2.9956075885079123,337113,337113,0,1783417507.4434392
B,net_churn10,8,10,9,0.18941904278472066,True,0.2318181818181818,2.9733601396734066,337113,337113,0,1783417507.6330485
B,net_churn10,9,10,9,0.1885527321137488,True,0.24545454545454545,2.9518615505912087,337113,337113,0,1783417507.8217905
B,net_churn10,10,10,9,0.18872058764100075,True,0.2590909090909091,2.9294139168479227,337113,337113,0,1783417508.0107007
B,net_churn10,11,10,9,0.18910489277914166,True,0.27954545454545454,2.9047962708906696,337113,337113,0,1783417508.2000027
B,net_churn10,12,10,9,0.19033029628917575,True,0.2909090909090909,2.8798135540702128,337113,337113,0,1783417508.3905241
B,net_churn10,13,10,9,0.19021666329354048,True,0.29545454545454547,2.8537482825192537,337113,337113,0,1783417508.5809462
B,net_churn10,14,10,9,0.18913217587396502,True,0.30227272727272725,2.8266592892733486,337113,337113,0,1783417508.7702742
B,net_churn10,15,10,9,0.1890567527152598,True,0.3090909090909091,2.797517512061379,337113,337113,0,1783417508.95952
B,net_churn10,16,10,9,0.18862991407513618,True,0.31136363636363634,2.7693872581828725,337113,337113,0,1783417509.148343
B,net_churn10,17,10,9,0.18936535576358438,True,0.31363636363636366,2.739387048374523,337113,337113,0,1783417509.337902
B,net_churn10,18,10,9,0.18900732370093465,True,0.3181818181818182,2.7085567300969906,337113,337113,0,1783417509.5271087
B,net_churn10,19,10,9,0.18906078720465302,True,0.32727272727272727,2.676615676012906,337113,337113,0,1783417509.7163649
B,net_churn10,20,10,9,0.18939349986612797,True,0.35,2.647845458984375,337113,337113,0,1783417509.905954
B,net_churn10,21,10,9,0.1897718869149685,True,0.35909090909090907,2.616847549785267,337113,337113,0,1783417510.0959265
B,net_churn10,22,10,9,0.18953368393704295,True,0.36818181818181817,2.5875638615001333,337113,337113,0,1783417510.2856586
B,net_churn10,23,10,9,0.1889251098036766,True,0.3704545454545455,2.5579208547418766,337113,337113,0,1783417510.4747837
B,net_churn10,24,10,9,0.29632573714479804,True,0.3704545454545455,2.524614277752963,337113,337113,0,1783417510.7712994
B,net_churn10,25,10,9,0.18936408823356032,True,0.375,2.4949963873082943,337113,337113,0,1783417510.9608593
B,net_churn10,26,10,9,0.19052019994705915,True,0.375,2.4654800328341397,337113,337113,0,1783417511.1515784
B,net_churn10,27,10,9,0.18899995787069201,True,0.375,2.4343850179152056,337113,337113,0,1783417511.3407807
B,net_churn10,28,10,9,0.18990842113271356,True,0.37727272727272726,2.4008670286698774,337113,337113,0,1783417511.5308788
B,net_churn10,29,10,9,0.1898468709550798,True,0.38636363636363635,2.366549439863725,337113,337113,0,1783417511.7209225
B,net_churn10,30,10,9,0.18939365213736892,True,0.39090909090909093,2.3369813658974388,337113,337113,0,1783417511.9105074
B,net_churn10,31,10,9,0.1902720220386982,True,0.39090909090909093,2.30421573899009,337113,337113,0,1783417512.1009686
