n_nodes,filter,iter,bytes_total,duration_ms,success
10,none,0,250,2.286,True
10,none,1,250,1.812,True
10,none,2,250,1.708,True
10,none,3,250,1.891,True
10,none,4,250,1.67,True
10,none,5,250,1.604,True
10,none,6,250,1.63,True
10,none,7,250,1.735,True
10,none,8,250,1.558,True
10,none,9,250,1.563,True
10,none,10,250,1.545,True
10,none,11,250,1.732,True
10,none,12,250,1.529,True
10,none,13,250,1.512,True
10,none,14,250,1.551,True
10,none,15,250,1.52,True
10,none,16,250,1.55,True
10,none,17,250,1.531,True
10,none,18,250,1.514,True
10,none,19,250,1.66,True
10,none,20,250,1.526,True
10,none,21,250,1.556,True
10,none,22,250,1.536,True
10,none,23,250,1.606,True
10,none,24,250,1.49,True
10,none,25,250,1.539,True
10,none,26,250,1.525,True
10,none,27,250,1.699,True
10,none,28,250,1.526,True
10,none,29,250,1.492,True
10,semantic,0,2500,23.69,True
10,semantic,1,2500,23.357,True
10,semantic,2,2500,23.024,True
10,semantic,3,2500,23.714,True
10,semantic,4,2500,26.404,True
10,semantic,5,2500,22.984,True
10,semantic,6,2500,23.369,True
10,semantic,7,2500,23.289,True
10,semantic,8,2500,24.196,True
10,semantic,9,2500,22.846,True
10,semantic,10,2500,23.542,True
10,semantic,11,2500,23.367,True
10,semantic,12,2500,23.13,True
10,semantic,13,2500,23.98,True
10,semantic,14,2500,35.157,True
10,semantic,15,2500,23.429,True
10,semantic,16,2500,23.311,True
10,semantic,17,2500,23.85,True
10,semantic,18,2500,22.922,True
10,semantic,19,2500,24.505,True
10,semantic,20,2500,23.187,True
10,semantic,21,2500,24.122,True
10,semantic,22,2500,22.812,True
10,semantic,23,2500,24.788,True
10,semantic,24,2500,22.879,True
10,semantic,25,2500,24.466,True
10,semantic,26,2500,23.401,True
10,semantic,27,2500,23.32,True
10,semantic,28,2500,23.632,True
10,semantic,29,2500,23.094,True
50,none,0,250,2.283,True
50,none,1,250,1.648,True
50,none,2,250,1.792,True
50,none,3,250,1.568,True
50,none,4,250,1.569,True
50,none,5,250,1.822,True
50,none,6,250,2.019,True
50,none,7,250,2.068,True
50,none,8,250,1.788,True
50,none,9,250,1.696,True
50,none,10,250,1.957,True
50,none,11,250,1.914,True
50,none,12,250,1.807,True
50,none,13,250,1.993,True
50,none,14,250,1.909,True
50,none,15,250,2.062,True
50,none,16,250,1.795,True
50,none,17,250,1.945,True
50,none,18,250,1.665,True
50,none,19,250,1.934,True
50,none,20,250,1.884,True
50,none,21,250,1.917,True
50,none,22,250,1.972,True
50,none,23,250,1.973,True
50,none,24,250,1.978,True
50,none,25,250,1.811,True
50,none,26,250,1.982,True
50,none,27,250,1.867,True
50,none,28,250,1.969,True
50,none,29,250,1.882,True
50,semantic,0,12500,130.384,True
50,semantic,1,12500,129.368,True
50,semantic,2,12500,127.51,True
50,semantic,3,12500,129.01,True
50,semantic,4,12500,128.693,True
50,semantic,5,12500,127.506,True
50,semantic,6,12500,156.606,True
50,semantic,7,12500,129.596,True
50,semantic,8,12500,132.061,True
50,semantic,9,12500,129.871,True
50,semantic,10,12500,127.645,True
50,semantic,11,12500,129.014,True
50,semantic,12,12500,127.881,True
50,semantic,13,12500,127.679,True
50,semantic,14,12500,128.53,True
50,semantic,15,12500,125.33,True
50,semantic,16,12500,127.496,True
50,semantic,17,12500,125.936,True
50,semantic,18,12500,162.784,True
50,semantic,19,12500,130.974,True
50,semantic,20,12500,129.753,True
50,semantic,21,12500,129.001,True
50,semantic,22,12500,128.782,True
50,semantic,23,12500,133.897,True
50,semantic,24,12500,128.597,True
50,semantic,25,12500,127.915,True
50,semantic,26,12500,127.276,True
50,semantic,27,12500,126.695,True
50,semantic,28,12500,126.573,True
50,semantic,29,12500,127.14,True
100,none,0,250,2.194,True
100,none,1,250,1.767,True
100,none,2,250,1.818,True
100,none,3,250,1.955,True
100,none,4,250,1.967,True
100,none,5,250,1.97,True
100,none,6,250,1.937,True
100,none,7,250,1.788,True
100,none,8,250,1.942,True
100,none,9,250,1.959,True
100,none,10,250,2.024,True
100,none,11,250,2.019,True
100,none,12,250,1.612,True
100,none,13,250,1.876,True
100,none,14,250,1.957,True
100,none,15,250,2.067,True
100,none,16,250,1.901,True
100,none,17,250,1.913,True
100,none,18,250,2.165,True
100,none,19,250,1.914,True
100,none,20,250,1.962,True
100,none,21,250,1.826,True
100,none,22,250,1.904,True
100,none,23,250,1.972,True
100,none,24,250,1.801,True
100,none,25,250,1.985,True
100,none,26,250,1.931,True
100,none,27,250,1.945,True
100,none,28,250,1.889,True
100,none,29,250,1.799,True
100,semantic,0,25000,261.163,True
100,semantic,1,25000,260.676,True
100,semantic,2,25000,268.001,True
100,semantic,3,25000,313.02,True
100,semantic,4,25000,265.21,True
100,semantic,5,25000,265.594,True
100,semantic,6,25000,269.885,True
100,semantic,7,25000,265.232,True
100,semantic,8,25000,265.359,True
100,semantic,9,25000,328.366,True
100,semantic,10,25000,266.259,True
100,semantic,11,25000,268.027,True
100,semantic,12,25000,263.14,True
100,semantic,13,25000,266.56,True
100,semantic,14,25000,265.583,True
100,semantic,15,25000,339.666,True
100,semantic,16,25000,270.967,True
100,semantic,17,25000,270.741,True
100,semantic,18,25000,270.994,True
100,semantic,19,25000,265.746,True
100,semantic,20,25000,264.586,True
100,semantic,21,25000,344.112,True
100,semantic,22,25000,266.903,True
100,semantic,23,25000,267.324,True
100,semantic,24,25000,265.151,True
100,semantic,25,25000,266.185,True
100,semantic,26,25000,266.309,True
100,semantic,27,25000,266.326,True
100,semantic,28,25000,374.873,True
100,semantic,29,25000,267.832,True
